"ds","y"
"2013-11-06",23.62
"2013-11-07",23.51
"2013-11-08",22.89
"2013-11-11",23.09
"2013-11-12",21.87
"2013-11-13",21.73
"2013-11-14",22.1
"2013-11-18",22.21
"2013-11-19",21.46
"2013-11-21",21.02
"2013-11-22",20.32
"2013-11-25",19.79
"2013-11-26",20.41
"2013-11-27",20.94
"2013-11-28",21
"2013-11-29",21.21
"2013-12-02",20.54
"2013-12-03",20.11
"2013-12-04",19.71
"2013-12-05",20.45
"2013-12-06",20.47
"2013-12-09",20.58
"2013-12-10",20.28
"2013-12-11",19.73
"2013-12-12",19.89
"2013-12-13",20.14
"2013-12-16",20.08
"2013-12-17",20.1
"2013-12-18",20.21
"2013-12-19",20.38
"2013-12-20",20.46
"2013-12-23",20.48
"2013-12-26",20.42
"2013-12-27",20.28
